Title,Bag_of_words
13 Going on 30 ,birthday could 30 flashforwarded awry discover wish teens geeky goes 17 party wakes shes years makes garywinick jennifergarner markruffalo judygreer andyserkis kathybaker philreeves samball marciadebonis christab.allen seanmarquette kierstenwarren joegrifasi marypatgleason susanegan lynncollins reneeolstead alexandrakyle alexblack ashleybenson brittanycurran brielarson meganlusk juliaroth jeffreyshanecohn georgehine philippavel sarahloew mazjobrani ianbarford benitakristanall robinnelee justinburke saraswain catherinecombs giamantegna sydnibeaudoin jimgaffigan corenachase crystalmichelle madelinesprung-keyser richardwhitebear shambopfaff johnw.grant fabricecalmettes eronotcasek kevind.white timothyanderson adrianarmas carmitbachar ritabland douglascaldwell tycediorio nadineellis janinagarraway staceyharper brandonhenschel michaelwilliamhiggins katiemiller nancyo'meara bubbadeanrambo carolinea.rice kevinalexanderstea michonsuyama kadeesweeney nataliewilles darrelw.wright kimberlywyatt jasonyribar nicoleabisinio tarabattani davidboston ajedrezceledonio tycopeman donocunningham jamesdoherty candaceelaine ambergristak wardhorton carolinahoyos billkotsatos melodykrell jasonmakely ginamatthews luispedron jamespomichter mariosimone stewartsummers scouttaylor-compton bradtiemann michaeltommer larryvigus irenaviolette comedy fantasy romance
13 Hours: The Secret Soldiers of Benghazi ,security members consulate terrorists elite trapped benghazi lives save personnel us battle attack team armed libya michaelbay johnkrasinski jamesbadgedale pabloschreiber daviddenman dominicfumusa maxmartini alexiabarlier davidcostabile paymanmaadi mattletscher tobystephens demetriusgrosse davidgiuntoli kevinkent davidfurr mikemoriarty freddiestroma kennysheard andrewarrabito chrisdingli manuelcauchi fridacauchi abdesselambouhasni mostafaelhouari rachideladouani ahmedhammoud mohamedboussalem salehben-saleh joostjanssen yuricallison davidetucci stephenoliver mohamednaimane iskanderelhagaisa saifbraik husamchadat faridregragui bashirwahiel salamejarboua mikhailbasmadjian mohamedgornazi hichambelaoudi joeazzopardi andréagius ayoublayoussifi moutaouakilmohammed wrennschmidt ivygeorge juliabutters shanerowe kerimtroeller andreiclaude khaledriani marcelletheuma benyoucef juliedaniels brianmundey benaffan ayoubaghil sopealuko elektraanastasi lenandersoniv larissabonaci marccabourdin fabiod'amato johndeignan wesleyellul liisaevastina russellpaulfranklin vincentfrost nataliakrekhtiak adamlieberman chantellemicallefgrimaud ericamuscat gregoryniebel alanparis timpowell jonathanpyatt nikovichsammut nicktabone steffithake mikewest raniazouari action drama history war
13TH ,documentary criminalization african boom americans activists thoughtprovoking scholars analyze us politicians prison avaduvernay melinaabdullah michellealexander corybooker dolorescanales ginaclayton williamjelanicobb malkiacyril angeladavis craigderoche daviddinkins bazdreisinger kevingannon henrylouisgatesjr. mariegottschalk newtgingrich lisagraves corygreene johnhagan michaelhough vanjones davidkeene jameskilgore glenne.martin marcmauer khalilgibranmuhammad patnolan grovernorquist dorseynunn lizajessiepeterson charlesrangel kyung-jirhee shakasenghor bobsloan deborahsmall bryanstevenson kenthompson nicholasturner danielwagner joeatkins leeatwater kaliefbrowder georgebush georgew.bush jimmycarter billclinton hillaryclinton stephencolbert bobdole geraldford thomhartmann martinlutherking edkoch zebulonmiletsky richardnixon barackobama johnoliver rickperry ronaldreagan rashadrobinson ronniec.rouse berniesanders assatashakur donaldtrump jerrywatson paulweyrich larrywilmore tombrokaw waltercronkite peterjennings lyndonb.johnson rachelmaddow malcolmx danrather nancyreagan harryreasoner documentary crime
14 Minutes from Earth ,boldly back without travel executive earth space rocket deathdefying google freefall attempts mission adam'tex'davis jerrykolber treynelson erichsturm alaneustace jaredleidich tabermaccallum janepoynter sebastianpadilla documentary
17 Again ,find mike gets nearing midlife doover crisis exactly wishes thats hes 17 wakes thirtysomething burrsteers zacefron lesliemann thomaslennon matthewperry tylersteelman allisonmiller sterlingknight michelletrachtenberg adamgregory hunterparrish mariocassem katgraham tiyasircar melissaordway melorahardin briandoyle-murray josieloren jimgaffigan randygordon collettewolfe tommydewey lindamiller lornascott kodikitchen elliswilliams dianamariariva jeffsnyder antoniolewistodd angeehughes edackerman willschaub lorenlester alexandergeorge nicolesullivan margaretcho larrypoindexter bubbalewis chrisvalenti g.lanehillman hoperiley jeaninejackson gregorysporleder keithoney leonardwu lianablackburn lindsaytaylor daniellee.hawkins shelbyrabara katrinanorman tianabrowngandelman rhapsody taishamoniqueclark vanessachester amberestrada chanelmalvar galenhooks tynestecklein kiaranicoleely mihrankirakosian dresreid terranceharrison rachelebrookesmith christopherscott ericmccoy raymondchacon megangaliber reneekrieg jordanschatz jaclynmatfus justinc.todd danielbateman lauralindabradley michaelbretten keenanr.carter joshuacarver jasoncastle davidcohen hughdouglas albertblakefernandez garretgerlich caseygraf jesseheiman brandong.holley benjamindavidhoward zephaniahisrael mackenziejamieson micahj.jones ericalarose darinmaddox paulmcgee priscillamonnier leomontiel lucasmroczkowski alanmueting jonathandunkerleynewkerk ladellparks martinpierron katerappoport leonardjonathanruebe sagine justinsandler jacobsaylor davidtran julianvada jobethwagner mariazambrana comedy drama fantasy romance sport
18 Presents (18 regali) ,birthday pregnant terminal womanhood 18 mother gifts sentimental every leaves behind reaches daughter receive unborn cancer francescoamato vittoriapuccini benedettaporcaroli edoardoleo saralazzaro marcomesseri bettypedrazzi alessandrogiallocosta filippogili martanuti giacomorosselli beatriceschiros annaterio francescowolf luciazotti rossellaambrosini alessandracarrillo martinacavazzana raffaeleesposito valentinailluminati lauraobiols drama
1922,wifes pens based death stephen macabre confession farmer admitting beginning tale kings novella murder zakhilditch thomasjane mollyparker dylanschmid kaitlynbernard nealmcdonough tanyachampoux briand'arcyjames bobfrazer erickeenleyside patrickkeating danielleklaudt peternew peterhall michaelbean markacheson bartanderson bruceblain graemeduffy peterbrown roancurtis annalouisesargeant crime drama horror mystery thriller
1991,ensue student follow decides canada film love italy complications life quickly ricardotrogi jean-carlboucher juliettegosselin sandrinebisson claudiocolangelo maralazaris mamoudoucamara robertocitran alexandrineagostini giuseppecantore david-emmanueljauniaux roseadam mary-leepicknell luigiciardo francescalucecardinale massimoleone guillaumegirard albertoboubakarmalanchino fredericetherlinck marialbajma-riva gianantoniomellonemartinone fabiofarronato germanogentile celestesavino danielapiperno carolinegauthier bernardchabot mihaiflorian dominicpace gabriellepoulin okaramergherita rohdanovaflina alexdesmarais yannaspirot petrenicolae valentindumitru ginafidicci valeriepalma danieleluongo lucaperna giuseppecantelmi evacela federicaferro florefauchille germaingorisse giadaliu lorenzotobia carolpiredda jérômebranchetti emmanuelmassengo alessandrochiovoloni simonegalicchi valentinasiedi micoldelfino selenedelfino cinziapasseri alexfuscagni florinirodolfo kiliannethibaudeau giuliagiansanti assuntaindraccolo catherinearnaud vincentarchambault balkissasouleymaiga alexandrenachi maurizioterrazzano émilielajoie comedy
1BR ,woman sense disturbing young settles seeking complex community apartment independence cozy los angeles moves davidmarmor nicolebrydonbloom gilesmatthey taylornichols alanblumenfeld naomigrossman celestesully susandavis claytonhoff earnestinephillips haileygiles andreagabriel hannahaltman curtiswebster jaypennick andrewcarrillo evandickson tracydéchaux markkrenik suzshilang danielmcdonald kevinmulhare lukepacheco seansavadian drama horror thriller
2 Alone in Paris (Seuls Two) ,doggedly determined men master repeatedly bumbling eludes last two capture earth even paris policeman theyre thief ramzybedia ericjudor ramzybedia ericjudor hafidf.benamar élodiebouchez kristinscottthomas benoîtmagimel edouardbaer omarsy fredtestot mcjeangab'1 timothéeaugendre françoisdamiens hélènedarras annedepétrini yannickdyvrande janajudor faridkhider rodolphelauga philippelima michelmessie choukriotmani jean-tisplisson rainersievert philippesolakianvasken hugosélignac gaellevanoudenhoven peterwollasch comedy
