Title,Desc_of_movies,IMDB_ID,Directors,Actors,Genres,Languages
The Bridge Curse ,A group of university students decides to test an urban legend about the ghost of a female student that haunts a campus bridge.,11242242,Lester Hsi,"Ning Chang, Cheng Ko, J.C. Lin, Summer Meng, Vera Yen, Wan-Ru Zhan","Horror, Mystery, Thriller",Chinese
The Bridge ,A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.,2406376,NAN,"Diane Kruger, Demián Bichir, Thomas M. Wright, Ted Levine, Matthew Lillard, Emily Rios, Annabeth Gish, Johnny Dowers, Ramón Franco, Alejandro Patiño, Juan Carlos Cantu, Daniel Edward Mora, Stephanie Sigman, Franka Potente, Eric Lange, Ellie Araiza, Brian Van Holt, Abraham Benrubi, Lyle Lovett, Catalina Sandino Moreno, Bruno Bichir, Carlos Pratts, Diana Maria Riva, Alejandro Edda, Nathan Phillips, Jon Gries, Ian Hart, Alma Martinez, Jenny Pellicer, Joseph Garcia, David Barrera, Manuel Uriza, Roman Arabia, Larry Clarke, Don Swayze, Brad William Henke, Julio Cesar Cedillo, Arturo Del Puerto, Blanca Araceli, Karen Sours Albisua, Luis Bordonada, Roberto Medina, Richard Varga, Adam Arkin, Lee Garlington, Alex Fernandez, Diane Delano, Romi Dias, Alyssa Diaz, Emily Wickersham","Crime, Drama, Mystery, Thriller","English, Spanish"
Bridget Christie: Stand Up for Her ,"Performing stand-up for a packed house in London's Hoxton Hall, comedian Bridget Christie dives into the politics of gender, sex and equality.",7309512,NAN,NAN,Comedy,English
Bridget Jones's Diary ,This clever tale of Bridget Jones's odyssey from Mr. Right-here-right-now to Mr. Right delivers a glimpse into the inner workings of the female mind.,243155,Sharon Maguire,"Renée Zellweger, Gemma Jones, Celia Imrie, James Faulkner, Jim Broadbent, Colin Firth, Charmian May, Hugh Grant, Paul Brooke, Felicity Montagu, Shirley Henderson, Sally Phillips, James Callis, Charlie Caine, Gareth Marks, John Clegg, Embeth Davidtz, Matthew Bates, Jeffrey Archer, Patrick Barlow, Rebecca Charles, Honor Blackman, Dominic McHale, Joan Blackham, Lisa Barbuscia, Joseph Alessi, Rhydian Jai-Persad, Neil Pearson, Paul Ross, Stewart Wright, Claire Skinner, Dolly Wells, Mark Lingwood, Toby Whithouse, David Cann, Lisa Kay, Sulayman Al-Bassam, Donald Douglas, Renu Setna, Emma Amos, Sara Stockbridge, Sarah Alexander, Steve Apelt, Julian Barnes, Amber Batty, Crispin Bonham-Carter, Stefan Booth, Max Digby, Ray Donn, Campbell Graham, Christine Hewett, Ben Illis, Edmund Kente, Christopher Kouros, Rebecca Lock, Camilla Mathias, Ben Peyton, Salman Rushdie, June Smith, Jimmy White","Comedy, Drama, Romance",English
Bright ,"In an LA rife with interspecies tensions, a human cop and his orc partner stumble on a powerful object and become embroiled in a prophesied turf war.",5519340,David Ayer,"Will Smith, Joel Edgerton, Noomi Rapace, Edgar Ramírez, Lucy Fry, Veronica Ngo, Alex Meraz, Happy Anderson, Ike Barinholtz, Dawn Olivieri, Matt Gerald, Margaret Cho, Joseph Piccuirro, Brad William Henke, Jay Hernandez, Enrique Murciano, Scarlet Spencer, Andrea Navedo, Kenneth Choi, Bobby Naderi, Carlos Linares, Bunnie Rivera, Bailey Edwards, Rosemary Stevens, Greg Joung Paik, Cle Sloan, Roberts Jekabsons, Nadia Gray, Chris Browning, Laura Vallejo, Brandon Larracuente, Derek Graf, John Duff, Jamal Duff, Craig Henningsen, Aaron V. Williamson, Joe Rogan, Tim Sitarz, Luis Moncada, Jos Viramontes, Aileen Burdock, Briana Henry, Lesley Shires, René Mena, Chelsea Rendon, Daryn D. Dupree, Blue Mesquita, Natalie Camunas, Regan DuCasse, Gabriel Ortega, Roberto Garcia, Kevin Vance, Ignacio Rodriguera, Eugene Villanueva, Adan Mendoza Jr., Hector Chavez, Raul Cuellar, Gabriel Lopez, Keenen Bray, Diane Boose, Candice M Arnwine, Gabriel Baca, Jujo Ballo, Alex Boling, Dez Cleo, Mitch Craft, Nea Dune, Erin Marie Durcan, Jacob Fessenden, Nisalda Gonzalez, Dan Gruenberg, Damon Hoffman, Cary Huff, Jessica J. Immanuel, Ian Irizarry, Harvey B. Jackson, Jennifer Lamar, Lori Livingston, Sheila M. Lockhart, Jackson Low, Lozoya Jr., Hans Marrero, Kevin McTurk, Daniel Moncada, Jon Overgaauw, Pablo Ramos, Brynn Route, Chuck Saale, Sammy The Dwarf, Elena Sanchez, Isabella Sanchez, Kareem Stroud, Terrence Terrell, Tiffany Tynes, Yazmin Vinueza, Mark Aaron Wagner, Xavier Washington, Pleasant Wayne, Matt Weinglass","Action, Fantasy, Thriller","English, Spanish"
Bright: The Music Videos ,"Explore the hit songs from the Will Smith film ""Bright"" in these music videos from Machine Gun Kelly, Bastille, Logic, Migos and friends.",6739348,Beatrice Sisul,NAN,"Short, Music",NAN
Brij Mohan Amar Rahe (Long Live Brij Mohan) ,Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan -- until he was sentenced to death for his own murder.,6514010,Nikhil Bhat,"Arjun Mathur, Nidhi Singh, Sheetal Thakur, Manav Vij, Aanchal Chauhan, Sunny Hinduja, Vijayant Kohli, Yogendra Tiku, Lokesh Mittal, Jitendra Gupta, Rajendra Bhatia, Lalit Goswami, Harsh Hansraj, Goswami Lalit, Mansi Sharma","Comedy, Crime, Drama",Hindi
Bring It On , Pressure mounts on the captain of a decorated cheerleading squad as she attempts to lead her crew to its sixth consecutive national title.,204946,Peyton Reed,"Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union, Clare Kramer, Nicole Bilderback, Tsianina Joelson, Rini Bell, Nathan West, Huntley Ritter, Shamari Fears, Natina Reed, Brandi Williams, Richard Hillman, Lindsay Sloane, Bianca Kajlich, Holmes Osborne, Sherry Hursey, Cody McMains, Ian Roberts, David E. Taylor, Ashley Howard, Nikole Lee Amateau, Clementine Ford, Grant Thompson, Leonard Clifton, Marie Cole, Dru Mouser, Tracy Pacheco, Alicia Michelle Sassano, Natasha Soll, Ryan Drummond, Paullin Wolfe, David E. Willis, Beth LaMure, Anne Fletcher, Doug Waldo, Annie Hinton, Louise Gallagher, Edmond Clay, Daniella Kuhn, Aloma Wright, Paul Bloom, Melanie Atmadja, Peyton Reed, Jodi Harris, Nectar Rose, Hilary Angelo, Elizabeth Johnson, Riley Smith, Carla Mackauf, Anna Lisa Mendiola, Greg Benoit, Adam Daniel, Conor Dean Smith, Alex Ferguson, Zoe Galvez, Ruby Gonzalez, Lisel M. Gorell, Brandon Henschel, James Huffman, Kenyetta Lethridge, Rob Marrocco, Michael McCafferty, Chelsea Murphy, Jason Ventetuolo","Comedy, Romance, Sport",English
Bring It On Again ," Rejected by the college cheerleading team, a band of girls decide to form their own squad in this entertaining sequel to the original hit.",334965,Damon Santostefano,"Anne Judson-Yager, Bree Turner, Kevin Cooney, Faune Chambers Watkins, Bryce Johnson, Richard Lee Jackson, Bethany Joy Lenz, Holly Towne, Dennis Hemphill Jr., Felicia Day, Katherine Bailess, Joshua Gomez, Kelly Stables, Brian Patrick Wade, Darren Geare, Alandra Ortis, Oscar Orosco, Paul Collins, Chris Carmack, Derek Richardson, Jerry Trainor, Lamya Jezek, Christopher Emerson, Geoff Stults, Rossi Morreale, Nicole Albright, Maria Carmen, Eric Claxton, Eric Correia, Jonathan Dahl, Tannaz Emamjomeh, Michelle Heitzler, Mindy Kantner, Nito Larioza, Sasha Leitch, Jorene Leonard, Jonathan Lewis, Jeff McQueen, Tim Passalacqua, Rhonda Roberts, Stanton Parker Smith, Monica Soto, Stacey Walker, Julianne Waters, Owen-John Williams, Zachary Woodlee, Michelle Alexandria, Orion Barnes, Amy Block, Ryan Bosch, Jennifer Cadena, Summer Harlow, Chris Johns, Rafael Jordan, Joan McCarthy, Kimberly Mcgee, Jen Strickland, Gary C. Warren, Steven West, Ashlea Wiest, Jennifer Wolfson","Comedy, Sport",English
Bring it On: All or Nothing , Cheer captain Britney plans to have her squad earn a coveted spot in singing sensation Rihanna's video but must think fast when her plan is derailed.,490822,Steve Rash,"Hayden Panettiere, Jake McDorman, JoJo Wright, Emme Rylan, Cindy Chiu, Danielle Savre, Jessica Nicole Fife, Debra Sullivan, Eric Bruskotter, Kiersten Warren, Francia Raisa, Solange, Giovonnie Samuels, Gustavo Carr, Gary LeRoi Gray, Steven West, Conni Marie Brazelton, Wilke Itzin, Swin Cash, Rihanna, Teresa Strasser, Sean van der Wilt, Blake Angiers, Bowd Beal, Casey Marlow, Jordan Johnson, Griffin Myers, Whitney Lefler, Caity Lotz, Tarah Paige, Michelle Maniscalco, Shannon Stotz, Betsey Lawrey, Noreen Juliano, Erin Yvonne, Kevin Wilson, Marty Dew, Monica Soto, Marquita Scott, Alexiss Sanchez, Dominique Domingo, Terrance Harrison, Alexandria Kaye, Sal Davila, John Cronin, Chester Jackson, Jonathan Rios, Shaun T., Trever Love, Michelle Alexandria, Amelia Beaugard, Nathan Belt, Matthew Campbell, Shane Cibella, Sandy Colton, Tanya Douglas, Denise Emery, Lindsey Evans, Marshall Foster, Tony Gonzalez, Paul Haasch, Danielle E. Hawkins, Bud Joseph Hebert, Audia Holiday, Bora Jasa, Don Le, Devon Ligus, Kimberly Magness, Chad Moore, Chris Moss, Heather Nichols, Jeran Pascascio, Travis Quentin, Tia Robinson, Josh Siemens, Zachary Vazquez, Ivan 'Flipz' Velez, Alex 'Shorty' Welch","Comedy, Sport",English
Bring It On: Fight to the Finish ," After her mom gets remarried, Lina adjusts to life in affluent Malibu, where the new girl pledges to whip her school's cheerleading squad into shape.",1349482,Bille Woodruff,"Christina Milian, Vanessa Born, Gabrielle Dennis, Christopher Shazar, David Starzyk, Laura Cerón, Brandon Gonzales, Holland Roden, Rachele Brooke Smith, Meagan Holder, Cody Longo, Nikki SooHoo, Brittany Sarkisian, Carlos Diaz, Jessica Martinez, Janelle Martinez, Julia Lehman, Megan Hubbell, Alexander McCarthy, Kyle McCarthy, Lisa Arturo, Giuliana Rancic, Eric Butts, Greg Farkas, Janelle Ginestra, Lauren Gottlieb, Danielle E. Hawkins, Theresa June-Tao, Devin Jamieson, Jordan Johnson, Michael Lim, Bryan Marsh, Andrea McQueen, Brittany Anne Pirtle, Liz Porter, Kristy Rios, Brian Schulze, Bailey Stump, Devin Walker, Brad Weber, Tori Wirgler, John Witters, Elle Young, Chris Zuehlke, Daniel Altman, David Carmon, John Cronin, Neda Emamjomeh, David Ezell, Leon Henderson, Megan Honore, Dominique Kelley, Chanel Malvar, Carissa Martin, Candace Montez, Nicole Niestemski, Carina Olis, Sean Patrick Parnell, Daniel Pera, John Rames, Marquita Scott, Allysa Shorte, Monica Soto, Isaac Tualaulelei, Julianne Waters, Jeffrey Alarcon, Paulette Azizian, Shaylene Benson, Britton Bickel, Mike Burns, William Caldwell, Kassie Cook, Marty Dew, Aisha Jamila Francis, Rebekah Giles, Erin Yvonne, Jeremy Hudson, Chris Moss, Katrina Norman, Shannon Pape, Jonathan Rice, Jenny Robinson, Gina Starbuck, Dollar Tan, Jordan Wentz, Noel Bajandas, Kenny Harlow, Oren Michaeli, Oscar Orosco, Jonathan 'Legacy' Perez, Michael Vargas, Roman Vasquez, Ivan 'Flipz' Velez, Ryan Adams, Brandon Henschel, Julio Bekhor, Scott Crane, Nick Denbeigh, Mae Flores, Blaze Foster, Blaise Garza, Joe Rudy Guerrero Jr., Rusty Joiner, Maynor Lopez, Stefan Mavi, Jimmy Monvoisin, Scott Olsen, Christopher Reddick-Johnson, Diego Sebastian, Inna Swann","Comedy, Sport","English, Spanish"
Bring It On: In It to Win It ," Carson sets out to guide her squad to victory and takes on a competitive rival in a one-on-one battle, as they both fight for one guy's affection.",972785,Steve Rash,"Ashley Benson, Cassandra Scerbo, Noel Areizaga, Jennifer Tisdale, Kierstin Koppel, Anniese Taylor Dendy, Jane Park Smith, Lisa Glaze, Adam Vernier, Michael Copon, Tanisha Harris, Dinah Schierer, Jo Beth Locklear, Ashley Tisdale, Jamaar Berrien, Kasie Kaelin, Nicole Niestemski, Jenny Robinson, Jacinto Rodriguez, Michael Venditto, Ashley Barker, Sasha Brens, Billy Caldwell, Lauren Curtis, Carlos Diaz, Robert Divincenzo, Rebekah Giles, Mauren Gremse, Chris Moss, Kimberly Newbern, Katrina Norman, Mandi Tincher-Reger, Bettis Richardson, Scott Rosen, Logan Sherrill, Monica Soto, Jake Waldrup, Brian A. White, Trey Wampler, Luis Banuls, Mike Burns, David Divincenzo, Angela Lee, Alan Linder, Josh Seaton, Jason Snyder, Javarus Warren, Lauren Whitt, Richard Braitwaite, Nicholas Auger, Joe Jackson, Timothy Johnson, Karin Wood, Mike Pucci, Lisa Thompson, Jonathan Lewis, Rudy Rodriguez, Robie Alan, Amazona, Christian Andreas, John Baker, Nick Bass, David Bermejo, Justin Brown, Marc Carasello, Chase 'Uzzle' Carter, Chris Cavallaro, Chevy Lamont Cofield, Whitney Costner, Bryce DiCristofalo, Matt Doolittle, Michael Thomas Dunn, Scott duPont, Omar Elkalyoubie, Richard Andrew Evans, Elle Fitzapak, Rose Fowler, Luther 'Rich' Freeman, Brittany Geragotelis, David How, Alexandria Iona, Bjorn Jiskoot Jr., Kaitlyn Kennedy, Romi King, Pui Fan Lee, Nathena Lewis, Mitchell Maggin, Grae Marino, Amari Marshall, Andre Marshall, Tiffany Marshall, Alan Maxson, Melody Mccraney, Brandon Migliore, Jennifer Paige Moralez, Craig Myers, Tom Myers, Katarina Noel, Erin O'Halloran, Jeremy Palko, Josh Petro, Laura Alexandra Ramos, Tim Rerucha, Marc Rothberg, Lola Sanchez, Ashley Schnacky, David W. Scott, AJ Semiday, Angela Simmons-Morgan, R.J. Stallman, Bruce Timmons, Rachel Titen, Kelly Truzzolino, Wesley Tsukazan, Nelitza Vallellanes, Elizabeth Rose Young","Comedy, Sport",English
Broadcasting Christmas ,"When two newscasters with a romantic past compete for the same job on a TV morning show, sparks start to fly both on and off the air.",6167116,Peter Sullivan,"Melissa Joan Hart, Dean Cain, Cynthia Gibb, Jackée Harry, Richard Kline, Sophie von Haselberg, Kathryn Leigh Scott, Joanna Howard, Susan Shalhoub Larkin, Ash Santos, Krista Braun, Todd Litzinger, Stephanie Fantauzzi, Joyce Cohen, Daren Kelly, Guy Olivieri, Omar Salmon, David Healy, David Foley Jr., Sarah Rich, Ren Croney, Dan Tracy, Bill Timoney, Dominic Albano, Lisa Marie Brevogel, Vin Craig, Julia Drahos, Sara Harman, Josiah Harvey, Holly Jian, Rupie Keil, Kim Elizabeth Kiernan, Todd Benjamin Marshall, Laura Maselli, Gary McNerney, George McTyre, Rob Pawlikowski, Rebecca Pensky, Willoughby Pyle, Regina Weisman","Comedy, Drama, Family, Romance",English
Broken City ," After private detective Billy Taggart informs the mayor of New York that his wife is having an affair, the woman's lover turns up dead.",1235522,Allen Hughes,"Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Jeffrey Wright, Barry Pepper, Alona Tal, Natalie Martinez, Michael Beach, Kyle Chandler, James Ransone, Griffin Dunne, Odessa Feaster, Britney Theriot, Luis Tolentino, Tony Bentley, Andrea Frankle, William Ragsdale, Dana Gourrier, Aaron Zell, Stephen Fisher, James M. Jenkins, Teri Wyble, Sharon Angela, Anthony Thomas, Annika Pergament, Indigo, Gregory Jbara, Frank Fortunato, Han Soto, Rachel Wulff, Ann Hamilton, Dustin Knockum, Justin Chambers, Jason Mitchell, Chelsea Bruland, John W. Houghtaling, Ric Reitz, Lydia Hull, Leslie Steele, Chance Kelly, Benjamin Kanes, Greg Sproles, Reynaldo Piniella, Fred Tolliver Jr., Shawn Elliott, Millie Tirelli, Eric Weinstein, Henry Penzi, J.D. Evermore, Benton Greene, Joseph Meissner, Robert Larriviere, Rachael Taylor Arrington, Veronica Berry, Judd Lormand, Elizabeth Kaledin, Lori Campbell, Janell Crispyn, Dudley Fuqua, Rhonda Floyd Aguillard, Brittney Alger, D'Arcy Allen, John L. Armijo, Solima Arnold, Jillian Batherson, John R. Bennett II, Roger Brenner, Tom Cain, Ryan Catalanotto, Tony Costa, Haylie Creppel, Raymond Delaune, Z. Dieterich, Ryan Martin Dwyer, Kasey Emas, Adrienne Esteen, Osvaldo Fernandez, Marcia M Francis, Russell M. Haeuser, Kaitlin Hoychick, Sebastian James, Stephen T. Johnson, Mark Joyce, Kristal Kincaid, Alex Kruz, Cynthia LeBlanc, Elton LeBlanc, Lucinda Lewis, Jakel Marshall, Catherine Kim Poon, Jessica Poumaroux, Christopher Reeves, James Ricker II, Heather Robbins, Shindo Ki Rodriguez, Johnny Santiago, Andy Sims, Andrew j Spinks, Charlotte Stein, Uzimann, Rachel Vicknair, Douglas Wilcox II, Christina Michelle Williams","Action, Crime, Drama, Thriller","English, Spanish"
The Bronx Bull ,A young Jake LaMotta fights his way through a troubled childhood in the Bronx to become a legendary boxing champion with an explosive temper.,1148205,Martin Guigui,"William Forsythe, Joe Mantegna, Tom Sizemore, Paul Sorvino, Penelope Ann Miller, Mojean Aria, Ray Wise, Natasha Henstridge, James Russo, Robert Davi, Cloris Leachman, Mike Starr, Joe Cortese, Bruce Davison, Dave Cobert, Dom Irrera, Claudia Ferri, Harry Hamlin, Alicia Witt, Rebecca Forsythe, Joey Diaz, Eric Mamann, Alex Meraz, Dahlia Waingort, Juliet Landau, Sterling Fitzgerald, Russell Gannon, Cory Scarborough, Dre' Michael Chaney, John D. Alexander, Valentina de Angelis, Marni Lustig, Matthew Parrott, Josh Tessier, Seth Bailey, Robert T. Barrett, Courtney Gains, Anthony Bonaventura, Camille Carida, Will Radford, Ashley Atwood, Jenna Cúan Johnson, Ana Flavia Gavlak, Brian D. Katz, Mike Jerome Putnam, Adrian Winther, Jonesiano HD, Sunny Vachher, Nick Schroeder, Lauren Fray, Michael James Salisbury, Allen Merritt, Anthony Molinari, Michael Vitiello, Nick Stellate, Johnny Colon, Kurt Andon, Jessee Foudray, Ian Fisher, Benee Leavy, John Blenn, Edward P. Blinn, Michael Andolini, Steve Fleming, Tara Crespo, Ideene Dehdashti, Ken Jaffe, Billy Malone, Kolbi Winters, Bryan Rasmussen, Jason Speck, Max Napolitano, LeJon, Keion Adams, John Paul Shellnut, Paul Tranghese, Scott Reed, Brian J. Singer, Denise Vasquez, Patrick Weil, Dan Bazarian, Ryan Taylor, Eddie Arrazola, Daria Badanina, Delpha Baxter, Richard Bernard, John Milton Branton, Eric Brenner, Brett Chapin, Stefano Da Fre, Mike Dusi, Nikki Gray II, Michael Hauser, David Hill, Jason W. Horn, Craig Jordan, Darren Melameth, Diezel Ramos, Chuck Rockford, Angelo Romanelli, Sam Scarber, Shyan Selah, Matthew Skomo, Stewart Tain, Jude Thomas, Christopher Warner, Joel Weiss, Thom Williams, Robert Wright, Robert F. Kennedy","Biography, Drama, Sport",English
Brooklyn Nine-Nine , Brilliant but immature Brooklyn detective Jake Peralta must learn to follow the rules and be a team player when his squad gets an exacting new captain.,2467372,NAN,"Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero, Joe Lo Truglio, Andre Braugher, Dirk Blocker, Joel McKinnon Miller, Chelsea Peretti, Marc Evan Jackson, Kyra Sedgwick, Jason Mantzoukas, Dean Winters, Craig Robinson, Kyle Bornheimer, Nick Cannon, Kevin Dorff, Antonio Raul Corbo, Marilu Henner, Winston Story, Ken Marino, Merrin Dungey, Mary Lynn Rajskub, Paul Mabon, Bradley Whitford, Eva Longoria, Gina Gershon, Stephen Root, Phil Reeves, Gabe Liedman, Kenny Stevenson, Will Hines, Mariano 'Big Dawg' Mendoza, Vanessa Bayer, Fred Armisen, Matt Walsh, Mike Hagerty, Tim Meadows, Jamal Duff, Sandra Bernhard, Seth Carr, Paul Adelstein, Christopher Gehrman, P.L. Brown, Jon Root, Patton Oswalt, Katey Sagal, Jimmy Smits, Dennis Haysbert, Nicole Byer","Comedy, Crime",English
Brooklyn's Finest ,"Three cops find themselves hurtling toward the same crime scene on one fatal night in this tense, edge-of your-seat thriller.",1210042,Antoine Fuqua,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Will Patton, Lili Taylor, Michael Kenneth Williams, Brían F. O'Byrne, Shannon Kane, Ellen Barkin, Vincent D'Onofrio, Wass Stevens, Armando Riesco, Wade Allain-Marcus, Logan Marshall-Green, Jesse Williams, Hassan Johnson, Jas Anderson, John D'Leo, Georgie DeNoto, Alison Cordaro, Frencesca Carchia, Raquel Castro, Stella Maeve, Reilly Brooke Stith, Joshua Thompson, Bruce MacVittie, Robert John Burke, Jerry Speziale, Sarah Thompson, Rodney 'Bear' Jackson, Cle Sloan, Michael Pemberton, Zaire Paige, Greg Young, Randy Eastman, Thomas Jefferson Byrd, Alain Lauture, Joseph Adams, Alok Tewari, Matlok, Zachary Fuqua, Lela Rochon, Ed Moran, Isiah Whitlock Jr., Leonid Citer, Nicoye Banks, Tobias Truvillion, Tawny Cypress, Jeanine Ramirez, Rosalyn Coleman, Paul Diomede, Diana Bologna, Kandé Amadou, Frank Anello, Enrique Chicas, Carl Clemons, Isabella David, Tamala De Jesus, Damon C. Fields, Nicky Figueredo, Mister Fischer, Brevard Hudson, Michael Jeremiah, Tanda Kerín, Frank Mancuso, Vianca Mercedes, Sean Mulcahy, Victor Paul, Tasha Perri, Macc Plaise, William Lee Scott, Derrick Williams, Rick Zahn","Action, Crime, Drama, Thriller",English
The Bros ,"Reunited in their hometown for their father's funeral, two self-interested brothers meet a peculiar woman who shares a huge secret about their family.",7967580,You-Jeong Jang,"Dong-seok Ma, Dong-hwi Lee, Lee Hanee, Woo-jin Jo, Young-chang Song, Se-ha Ahn, Sung-tae Heo, Soon-won Jeong, Chang-Wook Ji, Min-seo Kim, Bong-ryeon Lee, Man-seok Oh, Hyun-chul Seo, Ye-ji Seo, Young-Soon Son, Byoung-Sook Sung","Comedy, Fantasy",Korean
Brother (Mon frère) ,"Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",9095526,Julien Abraham,"MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor, Mark Grosy, Neva Kehouane, Almamy Kanouté, Fatima Ait Bounoua, Mathieu Longatte, Najeto Injai, Hakou Benosmane, Didier Michon, Bilal Benaïssa, Khalid Acharkaoui, Hassan Kone, Bilal Fellahghnimi, Ismaël Ouazzani, Laure Werckmann, Edouard Berchiche, Maxence Leurent, Abdelkader Hoggui, Gilles Arnaud, Christian Nsankete, Bintou Sylla",Drama,French
Brother in Love (Aykut Eniste) ,"A robbery leaves a proprietor penniless before his wedding, but becoming a son-in-law to a second family might be the financial solution he needs.",10320050,Onur Bilgetay,"Cem Gelinoglu, Melis Babadag, Ege Kökenli, Müfit Kayacan, Lale Basar, Ali Erkazan, Özlem Çakar Yalçinkaya, Selen Domaç, Ferdi Sancar, Mekin Sezer, Ecrin Mogultay, Güven Hokna, Nazli Senem Ünal","Comedy, Family",Turkish
Brother's Shadow ,"After serving time in jail, a disgraced son returns to the family business in New York, where he struggles to fill the shoes of his late twin brother.",468458,Todd S. Yellin,"Scott Cohen, Katie Danziger, Lisa Emery, Ato Essandoh, Robert Feeley, Susan Floyd, Marc Fogel, Judd Hirsch, Diane Kagan, Elliot Korte, Jerry Matz, Donna Mitchell, James Murtaugh, Jay Patterson, Toby Poser, James Saito, Ruben Santiago-Hudson",Drama,English
Brotherhood of Blades II: The Infernal Battlefield ,"While tracking down a seditious painter, an imperial guard is accused of a royal assassination attempt and framed in a complicated conspiracy.",7055592,Yang Lu,"Chen Chang, Mi Yang, Yi Zhang, Wu Jiang, Shih-Chieh King, Jiayin Lei, Yuan Li, Nazeeh Tarsha, Zhilei Xin","Action, Adventure, Drama, History, Thriller",Mandarin
Brothers ,"After a troubled past with their alcoholic father, two estranged brothers prepare to face each other again as rivals in a street fighting tournament.",765010,Jim Sheridan,"Tobey Maguire, Jake Gyllenhaal, Natalie Portman, Sam Shepard, Mare Winningham, Bailee Madison, Taylor Geare, Patrick John Flueger, Clifton Collins Jr., Carey Mulligan, Omid Abtahi, Navid Negahban, Ethan Suplee, Arron Shiver, Ray Prewitt, Rebekah Wiggins, Carrie Fleming, Jenny Wade, Sheila Ivy Traister, Chad Brummett, Jason E. Hill, Kevin Wiggins, Yousuf Azami, James D. Dever, Kevin Adkins, Johnnie Hector, Jeremiah Bitsui, Bill Allen, Benjamin D. Baldwin, Richard Wade, Luce Rains, Enayat Delawary, Rick La Monda, Paul Ramos, Shawn Bryan, Oscar Mejia, David Bachelor, Zachary Grand, Michael-David Aragon, Iris Dunbar, J.D. Marmion, Robert Mitchell, Collin D. Barry, Janet Sanford, Casey Sanford, Gary Moore, Eric Steinig, Colleen Frye, James Duffy, David Manzanares, Michael Castellano, Carol A. Salazar, Wendell Sweet, Steven Blacksmith, Joe Geller, Rebecca Grant, Alan Gray, Bob Jesser, Amanda Macdonald, Eric Shackelford, J. Nathan Simmons, Z. Ray Wakeman, Robert Douglas Washington, Casey Wayne","Action, Drama, Thriller, War",English
